# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
13741	272	794	293	821	0
13761	303	794	323	820	0

13711	182	794	203	821	0
13731	152	794	173	821	0
13751	122	794	142	820	0
#kick right & left
13850	422	754	443	781	0
13851	2	754	23	781	0
#Smoke
13860	455	19	470	34	20
13861	475	20	489	34	20
13862	491	21	504	34	20
13863	506	20	518	34	20

#fly up right & left
13901	361	754	384	780	0
13902	361	714	384	741	0

13903	61	754	84	780	0
13904	61	714	84	741	0

#falling with tail right & left
13905	302	874	323	901	0
13906	361	874	382	900	0

13907	122	874	143	901	0
13908	62	874	83	900	0

#tail attack right & left
13910	394	873	415	900	0
13911	35	872	55	899	0
#USING PIPE
13630	215	633	230	661	0
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
1170	11112	100	11113	100
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11222	100	11121	100	11223	100
501	11212	100	11111	100	11213	100

#RUNNING RIGHT & LEFT
600	11222	50	11121	50	11223	50
601	11212	50	11111	50	11213	50

#RUNNING RIGHT & LEFT FAST
610	11322	30	11321	30	11323	30
611	11312	30	11311	30	11313	30

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100
#KICKING RIGHT& LEFT
221	11721	100
221	11711	100

#HOLDING RIGHT & LEFT
330	11851	100	11821	100	11811	100
331	11861	100	11841	100	11831	100
#hold idle
340	11851	100
341	11861	100

#kick right & left
220	11721	100
221	11711	100
#DIE
999	13001	100
#USING PIPE
1010	11630	100
################### SMALL #################
#mini mario world map
1160	12112	100	12113	100

1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#Fast Running
1310	12321	50	12323	50
1311	12311	50	12313	50

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#HOLDING RIGHT & LEFT
1700	12623	100	12627	100
1701	12624	100	12626	100

#HOLDING IDLE RIGHT & LEFT
1710	12623	100
1711	12624	100

#KICKING RIGHT & LEFT
1800	12723	100
1801	12724	100

#change small to big right & left
1810	11121	100	12121	100
1811	11111	100	12111	100

#using PIPE
1410	12530	100
################ TANOOKI #######################
1180	13112	100	13113	100
2100	13121	100
2101	13111	100

#WALKING RIGHT & LEFT 
2200	13222	100	13121	100	13223	100
2201	13212	100	13111	100	13213	100

#RUNNING RIGHT & LEFT
2300	13222	50	13121	50	13223	50
2301	13212	50	13111	50	13213	50

#RUNNING RIGHT & LEFT FAST
2310	13322	35	13321	35	13323	35
2311	13312	35	13311	35	13313	35

#BRACE RIGHT & LEFT 
2400	13621	100
2401	13611	100

#JUMP WALK
2500	13417	100
2501	13413	100

#JUMP RUN
2600	13427	100
2601	13423	100

#SIT RIGHT & LEFT 
2700	13521	100
2701	13511	100

#HOLDING 
2800	13721	100	13741	100	13761	100
2801	13711	100	13731	100	13751	100

2880	13721	100
2881	13711	100
#kicking
2900	13850	100
2901	13851	100
#changing 
2120	13860	100	13861	100	13862	100	13863	100
2121	13860	100	13861	100	13862	100	13863	100

#falling right & left
2610	13905	100	13906	100
2611	13907	100	13908	100

#fly right & left
2620	13901	100	13902	100
2621	13903	100	13904	100
#USING PIPE
2410	13630	100
#TAIL ATTACKING RIGHT AND LEFT
2910	13910	150	13630	150	13911	150
2911	13911	150	13630	150	13910	150
